title,odometer,location,isimported,engine,transmission,fuel,paint,price,year
Toyota Corolla,60127,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,1995000,2009
Acura MDX,132908,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Whine ,3315000,2009
Lexus ES 350,120412,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Silver,2655000,2008
Mercedes-Benz GLK 350,67640,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,9015000,2013
Mercedes-Benz E 200,92440,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5790000,2013
Mercedes-Benz E 300,39979,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Brown,19440000,2016
Toyota Corolla,144211,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,1995000,2008
Toyota Land Cruiser,82828,Lagos,Locally used,8-cylinder(V8),automatic,petrol,Black,1545000,2000
Ford F 150,77798,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Silver,4715000,2010
Honda Accord,53364,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Wine,865000,2007
Hyundai Elantra,168150,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Blue,700000,2006
Toyota Corolla,115068,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,5265000,2015
Toyota Corolla,92759,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black ,5015000,2014
Toyota Sienna,189248,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Grey,1885000,2004
Mercedes-Benz GLK 350,63425,Lagos,Locally used,6-cylinder(V6),automatic,petrol,White,6725000,2014
Ford F 150,196773,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,7015000,2013
Fiat Ducato,12488,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Green,950000,2001
Toyota Camry,119927,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,1235000,2004
Toyota RAV 4,81432,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Gold,4215000,2010
Toyota Camry,170530,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Red,1815000,2010
Honda CR-V,131449,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,1715000,2008
Toyota Camry,26650,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5575000,2014
Toyota Camry,64396,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,3755000,2011
Toyota Camry,86000,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,3975000,2012
Toyota Camry,72441,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,3535000,2010
Honda CR-V,108031,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Gold,1830000,2007
Dodge Charger,700000,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Black,3815000,2007
Toyota Hilux,74718,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,White,7215000,2012
Land Rover Range Rover Evoque,14855,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,49515000,2014
Lexus GX 460,41317,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,30465000,2014
Lexus GX 460,76794,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,28890000,2014
Toyota RAV 4,75248,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Green,2115000,2004
Lexus RX 350,164794,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,4530000,2007
Toyota Sienna,646,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,2955000,2006
Acura TL,0,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,White,2435000,2004
Hyundai Elantra,112509,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4415000,2012
Toyota Corolla,91495,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,White,3795000,2013
Toyota Camry,158580,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2745000,2009
Honda CR-V,109160,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,1590000,2004
Toyota Camry,189000,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Grey,1423000,2005
Lexus RX 350,71621,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,7815000,2012
Toyota Camry,16,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,50415000,2014
Toyota Camry,22614,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5575000,2014
Honda Odyssey,126155,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Dark Green,1665000,2005
Honda Pilot,98145,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Light Grey,2215000,2006
Toyota Camry,256087,Lagos,Locally used,4-cylinder(I4),automatic,petrol,White,1225000,2002
Hyundai Sonata,115559,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3480000,2013
Toyota 4-Runner,137219,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Black,2915000,2004
Lexus LX 570,6023,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,57765000,2019
Toyota Corolla,100198,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,2465000,2007
Toyota Tacoma,157000,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,4815000,2007
Toyota Sienna,62158,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,1765000,2006
Mitsubishi Pajero,75462,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Black,4615000,2008
